,method,value_error,num_rollouts,vf,level_one_children,level_two_children,k,exp
2830,PW0.9,0.39045154480762334,100,Relu,64,36,1,0.9
2831,AR,0.06384878966264695,100,Relu,1,99,1,0.1
2832,PW0.1,0.20127147552380853,200,Relu,2,4,1,0.1
2833,PW0.3,0.505365292617614,200,Relu,5,18,1,0.3
2834,PW0.5,0.3278977772672471,200,Relu,15,56,1,0.5
2835,PW0.7,0.03780455421473672,200,Relu,41,118,1,0.7
2836,PW0.9,0.5897304618151642,200,Relu,118,82,1,0.9
2837,AR,0.12374061989596452,200,Relu,1,199,1,0.1
2838,PW0.1,1.2561279770387663,500,Relu,2,4,1,0.1
2839,PW0.3,0.12761048115194984,500,Relu,7,27,1,0.3
2840,PW0.5,0.12462137118359085,500,Relu,23,113,1,0.5
2841,PW0.7,0.05869317320918355,500,Relu,78,292,1,0.7
2842,PW0.9,0.48688229021017393,500,Relu,269,231,1,0.9
2843,AR,1.8053393921579897e-05,500,Relu,1,499,1,0.1
2844,PW0.1,0.27757904605550854,10,Relu,2,4,1,0.1
2845,PW0.3,0.49962305991882383,10,Relu,2,4,1,0.3
2846,PW0.5,0.028318856060101538,10,Relu,4,6,1,0.5
2847,PW0.7,0.9440300018461505,10,Relu,6,4,1,0.7
2848,PW0.9,0.8688688880122726,10,Relu,8,2,1,0.9
2849,AR,0.32184432815601394,10,Relu,1,9,1,0.1
2850,PW0.1,0.9716390968095041,20,Relu,2,4,1,0.1
2851,PW0.3,1.3329148870400893,20,Relu,3,6,1,0.3
2852,PW0.5,0.7353530487898796,20,Relu,5,11,1,0.5
2853,PW0.7,1.6379450323051987,20,Relu,9,11,1,0.7
2854,PW0.9,1.4610363250437617,20,Relu,15,5,1,0.9
2855,AR,0.7139869734457607,20,Relu,1,19,1,0.1
2856,PW0.1,0.8721681147492113,50,Relu,2,4,1,0.1
2857,PW0.3,1.6314519127661287,50,Relu,4,10,1,0.3
2858,PW0.5,0.23690855433030666,50,Relu,8,23,1,0.5
2859,PW0.7,0.179387315672642,50,Relu,16,31,1,0.7
2860,PW0.9,1.0246432096668316,50,Relu,34,16,1,0.9
2861,AR,0.0379792102862444,50,Relu,1,49,1,0.1
2862,PW0.1,0.01646872584638892,100,Relu,2,4,1,0.1
2863,PW0.3,0.20312814265496382,100,Relu,4,12,1,0.3
2864,PW0.5,0.2491133263923775,100,Relu,11,37,1,0.5
2865,PW0.7,0.6894480567236121,100,Relu,26,59,1,0.7
2866,PW0.9,1.2305982074406119,100,Relu,64,36,1,0.9
2867,AR,0.23109818858963083,100,Relu,1,99,1,0.1
2868,PW0.1,1.430968831182141,200,Relu,2,4,1,0.1
2869,PW0.3,0.15204053648015492,200,Relu,5,17,1,0.3
2870,PW0.5,0.23335911926222597,200,Relu,15,59,1,0.5
2871,PW0.7,0.26098595815969494,200,Relu,41,123,1,0.7
2872,PW0.9,1.2007501904429043,200,Relu,118,82,1,0.9
2873,AR,0.24428669823936522,200,Relu,1,199,1,0.1
