,method,value_error,num_rollouts,vf,level_one_children,level_two_children,k,exp
9204,PW0.1,0.5151102759924624,200,Relu,2,4,1,0.1
9205,PW0.3,0.12804792599937787,200,Relu,5,19,1,0.3
9206,PW0.5,0.4007438981651389,200,Relu,15,57,1,0.5
9207,PW0.7,0.2455880968354638,200,Relu,41,123,1,0.7
9208,PW0.9,0.844777252325438,200,Relu,118,82,1,0.9
9209,AR,0.05803066910033561,200,Relu,1,199,1,0.1
9210,PW0.1,0.6796015038082545,500,Relu,2,4,1,0.1
9211,PW0.3,0.9158003697441464,500,Relu,7,27,1,0.3
9212,PW0.5,0.053886476973867975,500,Relu,23,116,1,0.5
9213,PW0.7,0.14713507840617707,500,Relu,78,284,1,0.7
9214,PW0.9,0.740711671043624,500,Relu,269,231,1,0.9
9215,AR,0.037478627712868,500,Relu,1,499,1,0.1
9216,PW0.1,0.8485980719254795,10,Relu,2,4,1,0.1
9217,PW0.3,0.3353867649501023,10,Relu,2,4,1,0.3
9218,PW0.5,0.6180026570156388,10,Relu,4,5,1,0.5
9219,PW0.7,0.7682796472143645,10,Relu,6,4,1,0.7
9220,PW0.9,1.2754323899649251,10,Relu,8,2,1,0.9
9221,AR,0.10119805062804765,10,Relu,1,9,1,0.1
9222,PW0.1,0.146610762031876,20,Relu,2,4,1,0.1
9223,PW0.3,0.6129816682242546,20,Relu,3,6,1,0.3
9224,PW0.5,0.241249547513454,20,Relu,5,11,1,0.5
9225,PW0.7,1.0049644634018338,20,Relu,9,11,1,0.7
9226,PW0.9,0.8370665112088963,20,Relu,15,5,1,0.9
9227,AR,0.4232422410923319,20,Relu,1,19,1,0.1
9228,PW0.1,0.33612999331485627,50,Relu,2,4,1,0.1
9229,PW0.3,0.19500926721415698,50,Relu,4,11,1,0.3
9230,PW0.5,0.21589318420885661,50,Relu,8,19,1,0.5
9231,PW0.7,0.24310840922186244,50,Relu,16,32,1,0.7
9232,PW0.9,0.8621216483577875,50,Relu,34,16,1,0.9
9233,AR,0.09499744955129855,50,Relu,1,49,1,0.1
9234,PW0.1,0.9649936113611705,100,Relu,2,4,1,0.1
9235,PW0.3,0.10558412124818381,100,Relu,4,12,1,0.3
9236,PW0.5,0.6297643724724473,100,Relu,11,36,1,0.5
9237,PW0.7,0.35126779287932364,100,Relu,26,63,1,0.7
9238,PW0.9,0.9093309385234315,100,Relu,64,36,1,0.9
9239,AR,0.1363957955242356,100,Relu,1,99,1,0.1
9240,PW0.1,1.3354213731569882,200,Relu,2,4,1,0.1
9241,PW0.3,0.10122730711846001,200,Relu,5,19,1,0.3
9242,PW0.5,0.10455281773343772,200,Relu,15,58,1,0.5
9243,PW0.7,0.26566346220174575,200,Relu,41,122,1,0.7
9244,PW0.9,0.7942840256324666,200,Relu,118,82,1,0.9
9245,AR,0.02193525426532217,200,Relu,1,199,1,0.1
9246,PW0.1,0.9732022980276389,500,Relu,2,4,1,0.1
9247,PW0.3,0.07127366813918909,500,Relu,7,27,1,0.3
9248,PW0.5,0.10028847770865751,500,Relu,23,115,1,0.5
9249,PW0.7,0.11684492363453913,500,Relu,78,285,1,0.7
9250,PW0.9,0.7560873121030302,500,Relu,269,231,1,0.9
9251,AR,0.02426889885472583,500,Relu,1,499,1,0.1
9252,PW0.1,0.5056885030673425,10,Relu,2,4,1,0.1
9253,PW0.3,0.026781077345274795,10,Relu,2,4,1,0.3
9254,PW0.5,0.5033811569235936,10,Relu,4,6,1,0.5
9255,PW0.7,0.05773333843692541,10,Relu,6,4,1,0.7
9256,PW0.9,0.08455245598174754,10,Relu,8,2,1,0.9
9257,AR,0.41236040331138435,10,Relu,1,9,1,0.1
9258,PW0.1,1.2428706546991224,20,Relu,2,4,1,0.1
9259,PW0.3,0.22540655440946822,20,Relu,3,6,1,0.3
9260,PW0.5,0.2952092970567177,20,Relu,5,11,1,0.5
9261,PW0.7,0.09127922509667269,20,Relu,9,11,1,0.7
9262,PW0.9,0.44505631008803015,20,Relu,15,5,1,0.9
9263,AR,0.053132167899480554,20,Relu,1,19,1,0.1
9264,PW0.1,0.3972714495337527,50,Relu,2,4,1,0.1
9265,PW0.3,0.32182127722511966,50,Relu,4,11,1,0.3
9266,PW0.5,0.1972567943663096,50,Relu,8,22,1,0.5
9267,PW0.7,0.09417918783448848,50,Relu,16,32,1,0.7
9268,PW0.9,0.07924862852860665,50,Relu,34,16,1,0.9
9269,AR,0.2443695177890539,50,Relu,1,49,1,0.1
9270,PW0.1,0.7493005629706104,100,Relu,2,4,1,0.1
9271,PW0.3,0.09360532258741111,100,Relu,4,12,1,0.3
9272,PW0.5,0.3890057814368248,100,Relu,11,37,1,0.5
9273,PW0.7,0.22577851389988712,100,Relu,26,62,1,0.7
9274,PW0.9,0.1043151884388196,100,Relu,64,36,1,0.9
9275,AR,0.023110665451421708,100,Relu,1,99,1,0.1
9276,PW0.1,1.0747879905744004,200,Relu,2,4,1,0.1
9277,PW0.3,0.5239150614163848,200,Relu,5,18,1,0.3
9278,PW0.5,0.25452015657869964,200,Relu,15,56,1,0.5
9279,PW0.7,0.06765143725284395,200,Relu,41,121,1,0.7
9280,PW0.9,0.16465215241572342,200,Relu,118,82,1,0.9
9281,AR,0.09479457631338561,200,Relu,1,199,1,0.1
9282,PW0.1,1.3368852197279886,500,Relu,2,4,1,0.1
9283,PW0.3,0.011969332439070557,500,Relu,7,28,1,0.3
9284,PW0.5,0.085231851696214,500,Relu,23,112,1,0.5
9285,PW0.7,0.14870622312224582,500,Relu,78,275,1,0.7
9286,PW0.9,0.09657465959412573,500,Relu,269,231,1,0.9
9287,AR,0.007006285378489241,500,Relu,1,499,1,0.1
9288,PW0.1,1.3628781868702895,10,Relu,2,4,1,0.1
9289,PW0.3,1.1941968805878855,10,Relu,2,3,1,0.3
9290,PW0.5,0.5772873026869099,10,Relu,4,5,1,0.5
9291,PW0.7,0.15468157358296997,10,Relu,6,4,1,0.7
9292,PW0.9,0.10115833103095451,10,Relu,8,2,1,0.9
9293,AR,0.6441659074919883,10,Relu,1,9,1,0.1
9294,PW0.1,1.0817186440183353,20,Relu,2,4,1,0.1
9295,PW0.3,0.2736381506805675,20,Relu,3,7,1,0.3
9296,PW0.5,0.14160299194327913,20,Relu,5,13,1,0.5
9297,PW0.7,0.40173579476129,20,Relu,9,11,1,0.7
9298,PW0.9,0.038086843902307654,20,Relu,15,5,1,0.9
9299,AR,0.12899560656283937,20,Relu,1,19,1,0.1
9300,PW0.1,0.5408936643957889,50,Relu,2,4,1,0.1
9301,PW0.3,0.42603150538494755,50,Relu,4,11,1,0.3
9302,PW0.5,0.23018578123369904,50,Relu,8,22,1,0.5
9303,PW0.7,0.12945421551690295,50,Relu,16,33,1,0.7
9304,PW0.9,0.19975225451005563,50,Relu,34,16,1,0.9
9305,AR,0.404737519187441,50,Relu,1,49,1,0.1
9306,PW0.1,0.857394436408234,100,Relu,2,4,1,0.1
9307,PW0.3,0.11038543014863256,100,Relu,4,12,1,0.3
9308,PW0.5,0.6592893602856984,100,Relu,11,37,1,0.5
9309,PW0.7,0.05090732024684985,100,Relu,26,60,1,0.7
9310,PW0.9,0.05917258884261267,100,Relu,64,36,1,0.9
9311,AR,0.11666766972587883,100,Relu,1,99,1,0.1
9312,PW0.1,1.1633774413705846,200,Relu,2,4,1,0.1
9313,PW0.3,0.3571552247776607,200,Relu,5,19,1,0.3
9314,PW0.5,0.1212326869605983,200,Relu,15,57,1,0.5
9315,PW0.7,0.048022827704684135,200,Relu,41,125,1,0.7
9316,PW0.9,0.0788190269080013,200,Relu,118,82,1,0.9
9317,AR,0.11735605348458722,200,Relu,1,199,1,0.1
9318,PW0.1,0.3746688843963645,500,Relu,2,4,1,0.1
9319,PW0.3,0.9482392758302911,500,Relu,7,26,1,0.3
9320,PW0.5,0.3843302304069266,500,Relu,23,112,1,0.5
9321,PW0.7,0.03211230636816165,500,Relu,78,288,1,0.7
9322,PW0.9,0.05238848716751343,500,Relu,269,231,1,0.9
9323,AR,0.05338178489518941,500,Relu,1,499,1,0.1
9324,PW0.1,0.8439286021087351,10,Relu,2,3,1,0.1
9325,PW0.3,0.38951224428045284,10,Relu,2,4,1,0.3
9326,PW0.5,0.5664076414389345,10,Relu,4,4,1,0.5
9327,PW0.7,1.1080622809077318,10,Relu,6,4,1,0.7
9328,PW0.9,0.9117240996549891,10,Relu,8,2,1,0.9
9329,AR,0.5453035700163187,10,Relu,1,9,1,0.1
9330,PW0.1,0.1743407372088499,20,Relu,2,4,1,0.1
9331,PW0.3,0.6417687671211738,20,Relu,3,6,1,0.3
9332,PW0.5,0.478593829372882,20,Relu,5,11,1,0.5
9333,PW0.7,0.7377285782450833,20,Relu,9,11,1,0.7
9334,PW0.9,1.2538722417761003,20,Relu,15,5,1,0.9
9335,AR,0.2664404219573513,20,Relu,1,19,1,0.1
9336,PW0.1,0.17859860377218717,50,Relu,2,4,1,0.1
9337,PW0.3,0.6933630977540426,50,Relu,4,11,1,0.3
9338,PW0.5,0.20012940639986976,50,Relu,8,20,1,0.5
9339,PW0.7,0.6474067059503259,50,Relu,16,30,1,0.7
9340,PW0.9,0.9464127700250458,50,Relu,34,16,1,0.9
9341,AR,0.04857594275230648,50,Relu,1,49,1,0.1
9342,PW0.1,0.22012037105892457,100,Relu,2,4,1,0.1
9343,PW0.3,0.11501824777803504,100,Relu,4,12,1,0.3
9344,PW0.5,0.03617623372468737,100,Relu,11,36,1,0.5
9345,PW0.7,0.37500875069518136,100,Relu,26,68,1,0.7
9346,PW0.9,0.7030979903998276,100,Relu,64,36,1,0.9
9347,AR,0.21058366559930275,100,Relu,1,99,1,0.1
9348,PW0.1,0.8563434991918406,200,Relu,2,4,1,0.1
9349,PW0.3,0.37619505341289217,200,Relu,5,18,1,0.3
9350,PW0.5,0.5969340502112446,200,Relu,15,57,1,0.5
9351,PW0.7,0.27579755732190736,200,Relu,41,122,1,0.7
9352,PW0.9,0.8975484771622302,200,Relu,118,82,1,0.9
9353,AR,0.18660603837790868,200,Relu,1,199,1,0.1
9354,PW0.1,0.3548746790041597,500,Relu,2,4,1,0.1
9355,PW0.3,0.19039076884117012,500,Relu,7,28,1,0.3
9356,PW0.5,0.24773295132441442,500,Relu,23,117,1,0.5
9357,PW0.7,0.17677933185201078,500,Relu,78,290,1,0.7
9358,PW0.9,0.7903466663993612,500,Relu,269,231,1,0.9
9359,AR,0.09639976257786365,500,Relu,1,499,1,0.1
9360,PW0.1,0.7254652741064178,10,Relu,2,4,1,0.1
9361,PW0.3,0.5040020358201103,10,Relu,2,4,1,0.3
9362,PW0.5,0.13600815418555623,10,Relu,4,6,1,0.5
9363,PW0.7,0.2623814512621805,10,Relu,6,4,1,0.7
9364,PW0.9,0.007304180384479331,10,Relu,8,2,1,0.9
9365,AR,0.03992820119854068,10,Relu,1,9,1,0.1
9366,PW0.1,1.3833054051253066,20,Relu,2,4,1,0.1
9367,PW0.3,1.1453405503237821,20,Relu,3,6,1,0.3
9368,PW0.5,0.7400291539171713,20,Relu,5,13,1,0.5
9369,PW0.7,0.08114983710750057,20,Relu,9,11,1,0.7
9370,PW0.9,0.09364551063369575,20,Relu,15,5,1,0.9
9371,AR,0.1814647533272975,20,Relu,1,19,1,0.1
9372,PW0.1,0.35531836223011437,50,Relu,2,4,1,0.1
9373,PW0.3,0.23468794662319858,50,Relu,4,10,1,0.3
9374,PW0.5,0.15664814672663896,50,Relu,8,22,1,0.5
9375,PW0.7,0.23462177694988107,50,Relu,16,29,1,0.7
9376,PW0.9,0.027203789300707104,50,Relu,34,16,1,0.9
9377,AR,0.03963661891578729,50,Relu,1,49,1,0.1
9378,PW0.1,0.08085047398641887,100,Relu,2,4,1,0.1
9379,PW0.3,1.4829864157651045,100,Relu,4,12,1,0.3
9380,PW0.5,0.2341792306886954,100,Relu,11,35,1,0.5
9381,PW0.7,0.16940759466263122,100,Relu,26,62,1,0.7
9382,PW0.9,0.027351493323472642,100,Relu,64,36,1,0.9
9383,AR,0.37649498735186304,100,Relu,1,99,1,0.1
9384,PW0.1,0.29185963787781066,200,Relu,2,4,1,0.1
9385,PW0.3,0.3932370276444548,200,Relu,5,18,1,0.3
9386,PW0.5,0.02300150546985602,200,Relu,15,56,1,0.5
9387,PW0.7,0.1361610022273534,200,Relu,41,121,1,0.7
9388,PW0.9,0.1289416888609618,200,Relu,118,82,1,0.9
9389,AR,0.17466454669097553,200,Relu,1,199,1,0.1
9390,PW0.1,1.0133633191432398,500,Relu,2,4,1,0.1
9391,PW0.3,0.2517851753138749,500,Relu,7,28,1,0.3
9392,PW0.5,0.18151145345278819,500,Relu,23,112,1,0.5
9393,PW0.7,0.11069960535412227,500,Relu,78,284,1,0.7
9394,PW0.9,0.03465822484020009,500,Relu,269,231,1,0.9
9395,AR,0.05759364308140347,500,Relu,1,499,1,0.1
9396,PW0.1,0.27397425716183355,10,Relu,2,3,1,0.1
9397,PW0.3,1.2154838721540122,10,Relu,2,4,1,0.3
9398,PW0.5,0.3205392327261989,10,Relu,4,6,1,0.5
9399,PW0.7,0.22805047783266774,10,Relu,6,4,1,0.7
9400,PW0.9,0.2400378088920252,10,Relu,8,2,1,0.9
9401,AR,0.7280066817878523,10,Relu,1,9,1,0.1
9402,PW0.1,0.25846209331162306,20,Relu,2,4,1,0.1
9403,PW0.3,0.11661120719707552,20,Relu,3,7,1,0.3
9404,PW0.5,0.27552602141144433,20,Relu,5,11,1,0.5
9405,PW0.7,0.06871418240426364,20,Relu,9,11,1,0.7
9406,PW0.9,0.39567653809261705,20,Relu,15,5,1,0.9
9407,AR,0.5055373653668553,20,Relu,1,19,1,0.1
9408,PW0.1,0.16983930851924356,50,Relu,2,4,1,0.1
9409,PW0.3,0.6402096482762603,50,Relu,4,10,1,0.3
9410,PW0.5,0.14953304436754045,50,Relu,8,20,1,0.5
9411,PW0.7,0.31922110134727344,50,Relu,16,31,1,0.7
9412,PW0.9,6.589605388374054e-05,50,Relu,34,16,1,0.9
9413,AR,0.1129761253322954,50,Relu,1,49,1,0.1
9414,PW0.1,1.7035319007876382,100,Relu,2,4,1,0.1
9415,PW0.3,0.6079173320682127,100,Relu,4,13,1,0.3
9416,PW0.5,0.03318974436079447,100,Relu,11,36,1,0.5
9417,PW0.7,0.019162132952128097,100,Relu,26,60,1,0.7
9418,PW0.9,0.09931146931538448,100,Relu,64,36,1,0.9
9419,AR,0.19050162174520469,100,Relu,1,99,1,0.1
9420,PW0.1,0.813760026688453,200,Relu,2,4,1,0.1
9421,PW0.3,0.6991482743167736,200,Relu,5,18,1,0.3
9422,PW0.5,0.012558826181124472,200,Relu,15,59,1,0.5
9423,PW0.7,0.01377260424140947,200,Relu,41,118,1,0.7
9424,PW0.9,0.07555580110499394,200,Relu,118,82,1,0.9
9425,AR,0.012050817247285961,200,Relu,1,199,1,0.1
9426,PW0.1,0.2864065120422028,500,Relu,2,4,1,0.1
9427,PW0.3,0.031051739443488824,500,Relu,7,27,1,0.3
9428,PW0.5,0.12493024096202188,500,Relu,23,112,1,0.5
9429,PW0.7,0.1250538935204153,500,Relu,78,286,1,0.7
9430,PW0.9,0.06679268403837346,500,Relu,269,231,1,0.9
9431,AR,0.06436437800026584,500,Relu,1,499,1,0.1
9432,PW0.1,0.3403441615454086,10,Relu,2,4,1,0.1
9433,PW0.3,1.193197146706916,10,Relu,2,4,1,0.3
9434,PW0.5,1.6051345504135135,10,Relu,4,6,1,0.5
9435,PW0.7,0.4121087642024164,10,Relu,6,4,1,0.7
9436,PW0.9,0.9480331862319327,10,Relu,8,2,1,0.9
9437,AR,0.5832085799033151,10,Relu,1,9,1,0.1
9438,PW0.1,0.38814470055425865,20,Relu,2,4,1,0.1
9439,PW0.3,1.1676386707395174,20,Relu,3,6,1,0.3
9440,PW0.5,0.47693615943413015,20,Relu,5,11,1,0.5
9441,PW0.7,0.4526888369840636,20,Relu,9,11,1,0.7
9442,PW0.9,0.7035326153237684,20,Relu,15,5,1,0.9
9443,AR,0.26574486305380596,20,Relu,1,19,1,0.1
9444,PW0.1,1.076585193893369,50,Relu,2,4,1,0.1
9445,PW0.3,0.2751130739029275,50,Relu,4,10,1,0.3
9446,PW0.5,0.5880274864175097,50,Relu,8,21,1,0.5
9447,PW0.7,0.24785173667445504,50,Relu,16,32,1,0.7
9448,PW0.9,0.8445372455168467,50,Relu,34,16,1,0.9
9449,AR,0.054902586584965274,50,Relu,1,49,1,0.1
9450,PW0.1,0.40660844350123604,100,Relu,2,4,1,0.1
9451,PW0.3,0.3206815023269951,100,Relu,4,12,1,0.3
9452,PW0.5,0.07919636518662365,100,Relu,11,36,1,0.5
9453,PW0.7,0.38331109232384186,100,Relu,26,64,1,0.7
9454,PW0.9,0.8295208442177513,100,Relu,64,36,1,0.9
9455,AR,0.18908660815704437,100,Relu,1,99,1,0.1
9456,PW0.1,0.17768929278796985,200,Relu,2,4,1,0.1
9457,PW0.3,0.3966783191925538,200,Relu,5,18,1,0.3
9458,PW0.5,0.21487333973408518,200,Relu,15,59,1,0.5
9459,PW0.7,0.5909075311120624,200,Relu,41,124,1,0.7
9460,PW0.9,0.9247680645845162,200,Relu,118,82,1,0.9
9461,AR,0.21843944497822765,200,Relu,1,199,1,0.1
9462,PW0.1,0.024182486621678656,500,Relu,2,4,1,0.1
9463,PW0.3,0.29792523100512414,500,Relu,7,28,1,0.3
9464,PW0.5,0.0323456181358992,500,Relu,23,116,1,0.5
9465,PW0.7,0.21211854440570033,500,Relu,78,289,1,0.7
9466,PW0.9,0.7821870774037918,500,Relu,269,231,1,0.9
9467,AR,0.020342269587493522,500,Relu,1,499,1,0.1
9468,PW0.1,0.9053942922153961,10,Relu,2,4,1,0.1
9469,PW0.3,0.44419456554612946,10,Relu,2,4,1,0.3
9470,PW0.5,0.008739541972944131,10,Relu,4,6,1,0.5
9471,PW0.7,0.8503960918270961,10,Relu,6,4,1,0.7
9472,PW0.9,0.05511313568064047,10,Relu,8,2,1,0.9
9473,AR,0.5401634698737174,10,Relu,1,9,1,0.1
9474,PW0.1,0.7969841660164736,20,Relu,2,4,1,0.1
9475,PW0.3,0.9604442195433727,20,Relu,3,6,1,0.3
9476,PW0.5,0.3278976966223457,20,Relu,5,12,1,0.5
9477,PW0.7,0.09111522390148785,20,Relu,9,11,1,0.7
9478,PW0.9,0.3460057651332953,20,Relu,15,5,1,0.9
9479,AR,0.17991853880299935,20,Relu,1,19,1,0.1
9480,PW0.1,0.23876258473137124,50,Relu,2,4,1,0.1
9481,PW0.3,0.3459135464773535,50,Relu,4,11,1,0.3
9482,PW0.5,0.07008685218443222,50,Relu,8,21,1,0.5
9483,PW0.7,0.3657958978937135,50,Relu,16,31,1,0.7
9484,PW0.9,0.32608579724647146,50,Relu,34,16,1,0.9
9485,AR,0.13343285744631128,50,Relu,1,49,1,0.1
9486,PW0.1,1.9908351777879916,100,Relu,2,4,1,0.1
9487,PW0.3,1.4778748850076955,100,Relu,4,12,1,0.3
9488,PW0.5,0.09169358817953732,100,Relu,11,33,1,0.5
9489,PW0.7,0.2634190430846788,100,Relu,26,63,1,0.7
9490,PW0.9,0.13224125830306122,100,Relu,64,36,1,0.9
9491,AR,0.3270445575569694,100,Relu,1,99,1,0.1
9492,PW0.1,0.8558498617599541,200,Relu,2,4,1,0.1
9493,PW0.3,0.05056607554903181,200,Relu,5,18,1,0.3
9494,PW0.5,0.13153622760492123,200,Relu,15,60,1,0.5
9495,PW0.7,0.139221572344419,200,Relu,41,121,1,0.7
9496,PW0.9,0.12989714893696735,200,Relu,118,82,1,0.9
9497,AR,0.010234756180361515,200,Relu,1,199,1,0.1
9498,PW0.1,0.13138668345580928,500,Relu,2,4,1,0.1
9499,PW0.3,0.4167329170584937,500,Relu,7,27,1,0.3
9500,PW0.5,0.16213351566966594,500,Relu,23,113,1,0.5
9501,PW0.7,0.12032107938692604,500,Relu,78,295,1,0.7
9502,PW0.9,0.029196863290022357,500,Relu,269,231,1,0.9
9503,AR,0.05425038387940706,500,Relu,1,499,1,0.1
9504,PW0.1,1.2197023248402257,10,Relu,2,4,1,0.1
9505,PW0.3,1.93131210377013,10,Relu,2,4,1,0.3
9506,PW0.5,1.0568781424305973,10,Relu,4,6,1,0.5
9507,PW0.7,0.31747387472611854,10,Relu,6,4,1,0.7
9508,PW0.9,0.2443234575845858,10,Relu,8,2,1,0.9
9509,AR,0.311184776657945,10,Relu,1,9,1,0.1
9510,PW0.1,0.4259639748003403,20,Relu,2,4,1,0.1
9511,PW0.3,1.056460312204492,20,Relu,3,7,1,0.3
9512,PW0.5,0.2305743032127239,20,Relu,5,9,1,0.5
9513,PW0.7,0.3255446627651777,20,Relu,9,11,1,0.7
9514,PW0.9,0.13095406815573174,20,Relu,15,5,1,0.9
9515,AR,0.5610376316135894,20,Relu,1,19,1,0.1
9516,PW0.1,0.8996251407076988,50,Relu,2,4,1,0.1
9517,PW0.3,0.36221902323044036,50,Relu,4,11,1,0.3
9518,PW0.5,0.5674542924676079,50,Relu,8,21,1,0.5
9519,PW0.7,0.04300231890825582,50,Relu,16,30,1,0.7
9520,PW0.9,0.057701206064137464,50,Relu,34,16,1,0.9
9521,AR,0.09150960239500142,50,Relu,1,49,1,0.1
9522,PW0.1,1.6044405938231787,100,Relu,2,4,1,0.1
9523,PW0.3,0.13360876889007106,100,Relu,4,12,1,0.3
9524,PW0.5,0.3209293909513922,100,Relu,11,37,1,0.5
9525,PW0.7,0.037565176987415044,100,Relu,26,62,1,0.7
9526,PW0.9,0.05618306530822037,100,Relu,64,36,1,0.9
9527,AR,0.16907211662975336,100,Relu,1,99,1,0.1
9528,PW0.1,0.778757257507103,200,Relu,2,4,1,0.1
9529,PW0.3,0.2881989546515893,200,Relu,5,17,1,0.3
9530,PW0.5,0.12604525259715493,200,Relu,15,60,1,0.5
9531,PW0.7,0.202750726796655,200,Relu,41,122,1,0.7
9532,PW0.9,0.1225730092710691,200,Relu,118,82,1,0.9
9533,AR,0.12337840360148308,200,Relu,1,199,1,0.1
9534,PW0.1,1.5836043279971797,500,Relu,2,4,1,0.1
9535,PW0.3,0.1899010086522368,500,Relu,7,28,1,0.3
9536,PW0.5,0.1916266793363151,500,Relu,23,113,1,0.5
9537,PW0.7,0.03320064959302246,500,Relu,78,290,1,0.7
9538,PW0.9,0.05567273101124489,500,Relu,269,231,1,0.9
9539,AR,0.0714910506346087,500,Relu,1,499,1,0.1
9540,PW0.1,1.9314071452689747,10,Relu,2,4,1,0.1
9541,PW0.3,0.9815047656192842,10,Relu,2,4,1,0.3
9542,PW0.5,0.1254136796454841,10,Relu,4,6,1,0.5
9543,PW0.7,0.2841782904327108,10,Relu,6,4,1,0.7
9544,PW0.9,0.038275386493737296,10,Relu,8,2,1,0.9
9545,AR,0.511206810004883,10,Relu,1,9,1,0.1
9546,PW0.1,0.6762509805831783,20,Relu,2,4,1,0.1
9547,PW0.3,0.6340282277270632,20,Relu,3,6,1,0.3
9548,PW0.5,0.06565773781170925,20,Relu,5,11,1,0.5
9549,PW0.7,0.3035371092535466,20,Relu,9,11,1,0.7
9550,PW0.9,0.09831152790691167,20,Relu,15,5,1,0.9
9551,AR,0.44308258686861957,20,Relu,1,19,1,0.1
9552,PW0.1,1.6102811204818805,50,Relu,2,4,1,0.1
9553,PW0.3,0.21847721640424994,50,Relu,4,11,1,0.3
9554,PW0.5,0.6588333492073728,50,Relu,8,23,1,0.5
9555,PW0.7,0.02672577578122315,50,Relu,16,32,1,0.7
9556,PW0.9,0.40939161909973354,50,Relu,34,16,1,0.9
9557,AR,0.20256231892133147,50,Relu,1,49,1,0.1
9558,PW0.1,0.22066484634061578,100,Relu,2,4,1,0.1
9559,PW0.3,0.08195196337437538,100,Relu,4,13,1,0.3
9560,PW0.5,1.034256712395961,100,Relu,11,36,1,0.5
9561,PW0.7,0.3209168141542725,100,Relu,26,64,1,0.7
9562,PW0.9,0.028186384103791373,100,Relu,64,36,1,0.9
9563,AR,0.17285735462976537,100,Relu,1,99,1,0.1
9564,PW0.1,0.7222846902624098,200,Relu,2,4,1,0.1
9565,PW0.3,0.1568059360300077,200,Relu,5,18,1,0.3
9566,PW0.5,0.48304069945760264,200,Relu,15,59,1,0.5
9567,PW0.7,0.08139564117256237,200,Relu,41,119,1,0.7
9568,PW0.9,0.20270681586829353,200,Relu,118,82,1,0.9
9569,AR,0.030600104679771478,200,Relu,1,199,1,0.1
9570,PW0.1,0.6967746290272758,500,Relu,2,4,1,0.1
9571,PW0.3,0.3517073650357099,500,Relu,7,28,1,0.3
9572,PW0.5,0.20897522513051492,500,Relu,23,113,1,0.5
9573,PW0.7,0.11710025253390155,500,Relu,78,286,1,0.7
9574,PW0.9,0.02263298345203768,500,Relu,269,231,1,0.9
9575,AR,0.19910569060733962,500,Relu,1,499,1,0.1
9576,PW0.1,0.6268027436784681,10,Relu,2,4,1,0.1
9577,PW0.3,1.1908025831721984,10,Relu,2,4,1,0.3
9578,PW0.5,0.2334127747189747,10,Relu,4,6,1,0.5
9579,PW0.7,1.1478526331330712,10,Relu,6,4,1,0.7
9580,PW0.9,1.5551320370311932,10,Relu,8,2,1,0.9
9581,AR,0.22221522940848026,10,Relu,1,9,1,0.1
9582,PW0.1,1.4182660768090665,20,Relu,2,4,1,0.1
9583,PW0.3,0.8305823338830625,20,Relu,3,6,1,0.3
9584,PW0.5,0.3964506462364721,20,Relu,5,12,1,0.5
9585,PW0.7,1.1245867815121613,20,Relu,9,11,1,0.7
9586,PW0.9,1.3783446707974667,20,Relu,15,5,1,0.9
9587,AR,0.2534267261345212,20,Relu,1,19,1,0.1
9588,PW0.1,0.6308057569515519,50,Relu,2,4,1,0.1
9589,PW0.3,0.08437871774409622,50,Relu,4,11,1,0.3
9590,PW0.5,0.6737564241696671,50,Relu,8,21,1,0.5
9591,PW0.7,0.3994310344202696,50,Relu,16,30,1,0.7
9592,PW0.9,1.496362427802307,50,Relu,34,16,1,0.9
9593,AR,0.036711220103095465,50,Relu,1,49,1,0.1
9594,PW0.1,0.3502452138762451,100,Relu,2,4,1,0.1
9595,PW0.3,0.43700943914326085,100,Relu,4,12,1,0.3
9596,PW0.5,0.11647518756988995,100,Relu,11,36,1,0.5
9597,PW0.7,0.5957877214451176,100,Relu,26,61,1,0.7
9598,PW0.9,1.5075311939956355,100,Relu,64,36,1,0.9
9599,AR,0.14027192681720924,100,Relu,1,99,1,0.1
9600,PW0.1,0.4322857819854399,200,Relu,2,4,1,0.1
9601,PW0.3,0.7944100640531917,200,Relu,5,18,1,0.3
9602,PW0.5,0.19390976692768525,200,Relu,15,59,1,0.5
9603,PW0.7,0.5367552999223115,200,Relu,41,121,1,0.7
9604,PW0.9,1.3024663066168156,200,Relu,118,82,1,0.9
9605,AR,0.041322910185113804,200,Relu,1,199,1,0.1
9606,PW0.1,0.02853798994636958,500,Relu,2,4,1,0.1
9607,PW0.3,0.1049095139064744,500,Relu,7,28,1,0.3
9608,PW0.5,0.2937897372448002,500,Relu,23,112,1,0.5
9609,PW0.7,0.10668829003687419,500,Relu,78,281,1,0.7
9610,PW0.9,1.2520345333688458,500,Relu,269,231,1,0.9
9611,AR,0.11675365927746317,500,Relu,1,499,1,0.1
9612,PW0.1,0.44461770108877285,10,Relu,2,4,1,0.1
9613,PW0.3,2.0691043508839138,10,Relu,2,4,1,0.3
9614,PW0.5,0.2310673540302015,10,Relu,4,6,1,0.5
9615,PW0.7,0.35005231949896043,10,Relu,6,4,1,0.7
9616,PW0.9,0.6678418453867099,10,Relu,8,2,1,0.9
9617,AR,0.2516177151499468,10,Relu,1,9,1,0.1
9618,PW0.1,0.49637274362412076,20,Relu,2,4,1,0.1
9619,PW0.3,1.049648143462886,20,Relu,3,4,1,0.3
9620,PW0.5,0.33732069774105655,20,Relu,5,10,1,0.5
